"ano","semestre","regiao_geografica","complexo_portuario","perfil_da_carga","grupo_de_mercadoria","1201","202","203","201","ano_semestre","periodo"
2023,"1º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",24635145.637,0,0,0,"2023-S1º Semestre","Pós-2017"
2024,"1º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",23751554.487,0,0,0,"2024-S1º Semestre","Pós-2017"
2022,"1º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",21766485.88,0,0,0,"2022-S1º Semestre","Pós-2017"
2021,"1º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",20416525.547,0,0,0,"2021-S1º Semestre","Pós-2017"
2020,"1º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",19481239.452,0,0,0,"2020-S1º Semestre","Pós-2017"
2018,"1º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",16162587.821,0,0,0,"2018-S1º Semestre","Pós-2017"
2019,"1º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",14625715.581,0,0,0,"2019-S1º Semestre","Pós-2017"
2017,"1º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",14606044.745,0,0,0,"2017-S1º Semestre","Pós-2017"
2016,"1º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",13408563.656,0,0,0,"2016-S1º Semestre","Pré-2017"
2023,"1º Semestre","Norte","Vila do Conde - Belém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",13360503.685,0,0,0,"2023-S1º Semestre","Pós-2017"
2024,"1º Semestre","Norte","Vila do Conde - Belém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",13110471.657,0,0,0,"2024-S1º Semestre","Pós-2017"
2022,"1º Semestre","Norte","Vila do Conde - Belém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",11470424.292,0,0,0,"2022-S1º Semestre","Pós-2017"
2015,"1º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",11231366.165,0,0,0,"2015-S1º Semestre","Pré-2017"
2014,"1º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",10928455.783,0,0,0,"2014-S1º Semestre","Pré-2017"
2013,"1º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",10695589.953,0,0,0,"2013-S1º Semestre","Pré-2017"
2021,"1º Semestre","Norte","Vila do Conde - Belém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",10545806.754,0,0,0,"2021-S1º Semestre","Pós-2017"
2020,"1º Semestre","Norte","Vila do Conde - Belém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",10382099.179,0,0,0,"2020-S1º Semestre","Pós-2017"
2012,"1º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",9999497.193,0,0,0,"2012-S1º Semestre","Pré-2017"
2020,"1º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",9243565.813,0,0,0,"2020-S1º Semestre","Pós-2017"
2019,"2º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",8365854.106,0,0,0,"2019-S2º Semestre","Pós-2017"
2023,"1º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",8116552.487,0,0,0,"2023-S1º Semestre","Pós-2017"
2024,"1º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",8074235.347,0,0,0,"2024-S1º Semestre","Pós-2017"
2022,"1º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",8030803.84,0,0,0,"2022-S1º Semestre","Pós-2017"
2024,"1º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",8018108.317,0,0,0,"2024-S1º Semestre","Pós-2017"
2018,"2º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",7926505.358,0,0,0,"2018-S2º Semestre","Pós-2017"
2018,"1º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",7881762.935,0,0,0,"2018-S1º Semestre","Pós-2017"
2023,"2º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",7831973.674,0,0,0,"2023-S2º Semestre","Pós-2017"
2024,"1º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",7821416.665,0,0,0,"2024-S1º Semestre","Pós-2017"
2021,"1º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",7746867.33900001,0,0,0,"2021-S1º Semestre","Pós-2017"
2021,"2º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",7513856.581,0,0,0,"2021-S2º Semestre","Pós-2017"
2018,"2º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",7476389.455,0,0,0,"2018-S2º Semestre","Pós-2017"
2024,"2º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",7443352.206,0,0,0,"2024-S2º Semestre","Pós-2017"
2023,"2º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",7341078.796,0,0,0,"2023-S2º Semestre","Pós-2017"
2023,"1º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",7321507.68,0,0,0,"2023-S1º Semestre","Pós-2017"
2018,"1º Semestre","Norte","Vila do Conde - Belém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",7260313.953,0,0,0,"2018-S1º Semestre","Pós-2017"
2010,"1º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",7244080.997,0,0,0,"2010-S1º Semestre","Pré-2017"
2011,"1º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",7206724.467,0,0,0,"2011-S1º Semestre","Pré-2017"
2019,"1º Semestre","Norte","Vila do Conde - Belém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",7195768.174,0,0,0,"2019-S1º Semestre","Pós-2017"
2017,"2º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",7142621.973,0,0,0,"2017-S2º Semestre","Pós-2017"
2021,"1º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",6855636.731,0,0,0,"2021-S1º Semestre","Pós-2017"
2017,"1º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",6695818.827,0,0,0,"2017-S1º Semestre","Pós-2017"
2018,"1º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",6647395.782,0,0,0,"2018-S1º Semestre","Pós-2017"
2023,"1º Semestre","Norte","Itaituba","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",6538680.473,0,0,0,"2023-S1º Semestre","Pós-2017"
2020,"1º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",6520524.1,0,0,0,"2020-S1º Semestre","Pós-2017"
2020,"1º Semestre","Norte","Santarém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",6497067.554,0,0,0,"2020-S1º Semestre","Pós-2017"
2016,"1º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",6428608.017,0,0,0,"2016-S1º Semestre","Pré-2017"
2017,"1º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",6421298.113,0,0,0,"2017-S1º Semestre","Pós-2017"
2023,"1º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",6297869.71500001,0,0,0,"2023-S1º Semestre","Pós-2017"
2016,"1º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",6272302.811,0,0,0,"2016-S1º Semestre","Pré-2017"
2015,"1º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",6167146.777,0,0,0,"2015-S1º Semestre","Pré-2017"
2015,"2º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",6089502.476,0,0,0,"2015-S2º Semestre","Pré-2017"
2014,"1º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",5988477.541,0,0,0,"2014-S1º Semestre","Pré-2017"
2022,"1º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",5950169.47,0,0,0,"2022-S1º Semestre","Pós-2017"
2023,"2º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",5940097.261,0,0,0,"2023-S2º Semestre","Pós-2017"
2021,"1º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",5833987.453,0,0,0,"2021-S1º Semestre","Pós-2017"
2019,"1º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",5819912.878,0,0,0,"2019-S1º Semestre","Pós-2017"
2020,"1º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",5771082.769,0,0,0,"2020-S1º Semestre","Pós-2017"
2024,"2º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",5725809.757,0,0,0,"2024-S2º Semestre","Pós-2017"
2021,"1º Semestre","Norte","Santarém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",5702773.26,0,0,0,"2021-S1º Semestre","Pós-2017"
2017,"1º Semestre","Norte","Vila do Conde - Belém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",5630553.936,0,0,0,"2017-S1º Semestre","Pós-2017"
2024,"1º Semestre","Norte","Itaituba","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",5543739.532,0,0,0,"2024-S1º Semestre","Pós-2017"
2021,"2º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",5506856.15,0,0,0,"2021-S2º Semestre","Pós-2017"
2019,"2º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",5492289.669,0,0,0,"2019-S2º Semestre","Pós-2017"
2014,"1º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",5365071.468,0,0,0,"2014-S1º Semestre","Pré-2017"
2023,"1º Semestre","Norte","Santarém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",5311449.94,0,0,0,"2023-S1º Semestre","Pós-2017"
2015,"1º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",5301634.757,0,0,0,"2015-S1º Semestre","Pré-2017"
2024,"2º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",5208114.893,0,0,0,"2024-S2º Semestre","Pós-2017"
2020,"1º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",5097819.29,0,0,0,"2020-S1º Semestre","Pós-2017"
2020,"2º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",5050210.526,0,0,0,"2020-S2º Semestre","Pós-2017"
2012,"1º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4997448.818,0,0,0,"2012-S1º Semestre","Pré-2017"
2013,"1º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4969306.752,0,0,0,"2013-S1º Semestre","Pré-2017"
2023,"2º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4948398.075,0,0,0,"2023-S2º Semestre","Pós-2017"
2022,"1º Semestre","Norte","Itaituba","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4908267.351,0,0,0,"2022-S1º Semestre","Pós-2017"
2019,"1º Semestre","Norte","Santarém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4890290.838,0,0,0,"2019-S1º Semestre","Pós-2017"
2010,"1º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4840131.698,0,0,0,"2010-S1º Semestre","Pré-2017"
2021,"1º Semestre","Norte","Porto Velho","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4825403.52,0,0,0,"2021-S1º Semestre","Pós-2017"
2019,"1º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4781403.557,0,0,0,"2019-S1º Semestre","Pós-2017"
2021,"1º Semestre","Norte","Itaituba","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4780563.74,0,0,0,"2021-S1º Semestre","Pós-2017"
2017,"2º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4758297.168,0,0,0,"2017-S2º Semestre","Pós-2017"
2019,"1º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4752726.426,0,0,0,"2019-S1º Semestre","Pós-2017"
2019,"1º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4681847.56000001,0,0,0,"2019-S1º Semestre","Pós-2017"
2020,"1º Semestre","Norte","Porto Velho","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4657794.724,0,0,0,"2020-S1º Semestre","Pós-2017"
2022,"1º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4627694.16200001,0,0,0,"2022-S1º Semestre","Pós-2017"
2020,"1º Semestre","Norte","Itaituba","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4610991.42,0,0,0,"2020-S1º Semestre","Pós-2017"
2018,"1º Semestre","Norte","Santarém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4587173.038,0,0,0,"2018-S1º Semestre","Pós-2017"
2023,"1º Semestre","Norte","Porto Velho","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4582588.561,0,0,0,"2023-S1º Semestre","Pós-2017"
2022,"2º Semestre","Sul","Rio Grande","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4581761.415,0,0,0,"2022-S2º Semestre","Pós-2017"
2018,"1º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4558416.605,0,0,0,"2018-S1º Semestre","Pós-2017"
2021,"1º Semestre","Norte","Manaus","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4496819.24000001,0,0,0,"2021-S1º Semestre","Pós-2017"
2024,"1º Semestre","Norte","Porto Velho","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4470867.27,0,0,0,"2024-S1º Semestre","Pós-2017"
2024,"1º Semestre","Norte","Santarém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4304238.188,0,0,0,"2024-S1º Semestre","Pós-2017"
2024,"2º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4299983.03,0,0,0,"2024-S2º Semestre","Pós-2017"
2018,"2º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4296189.888,0,0,0,"2018-S2º Semestre","Pós-2017"
2019,"1º Semestre","Norte","Porto Velho","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4279746.865,0,0,0,"2019-S1º Semestre","Pós-2017"
2013,"1º Semestre","Sul","Paranaguá - Antonina","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4266366.913,0,0,0,"2013-S1º Semestre","Pré-2017"
2018,"1º Semestre","Nordeste","Itaqui","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4246697.642,0,0,0,"2018-S1º Semestre","Pós-2017"
2018,"1º Semestre","Norte","Porto Velho","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4227890.236,0,0,0,"2018-S1º Semestre","Pós-2017"
2022,"1º Semestre","Norte","Santarém","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4222671.84,0,0,0,"2022-S1º Semestre","Pós-2017"
2018,"2º Semestre","Sudeste","Santos","Granel Sólido","12-Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",4219041.378,0,0,0,"2018-S2º Semestre","Pós-2017"
